id,total_count
2022054_Ag_EU_HOPE_FESLibraryDomj,25479
294_Hispana_bvasturias,25427
880_ColegiodeAbogadosdeMadrid,25419
836_Hispana_ArchivoImagenCastillaLaMancha,25352
2064107_Museu_UK_Museums,25071
2024917_Ag_EU_EuropeanaPhotography_Denmark_1025,25026
432_DDB_GNM,24800
284_Slovenia_ecc_Athena_plus,24762
91640_Ag_SE_SwedishNationalHeritage_smvk-mmfoto,24455
2020128_Slovenia_Newspapers_Part2,24434
9200301_Ag_EU_TEL_a0611_Newspapers_Finland,24207
957_Mobilier_national,24178
0940414_Ag_PL_jbc.jelenia-gora.pl,24127
12_EKT_Pandektis,23956
92093_Ag_UK_TEL_a1009g_EuropeanaLibraries,23680
344_Hispana_RealAcademiaHistoria,23635
11615_Ag_EU_OpenUp_UCPH,23146
699_DDB_SBB_,22954
2064114_MUSEU_D_Kult,22889
2051910_Danish_Broadcast_Corporation,22874
1010_DDB_LBKS,22829
829__INHA,22687
322_Museu_RMAH,22673
347_SOCH_shs,22592
2048431_DDB_Berlinische_Galerie,22376
2022096_Ag_EU_IALHI_DutchPolSocMov,22361
09425_Ag_EE_ELocal,22324
9200339_Ag_EU_TEL_a0622_Newspapers_Belgrade,22320
238_FBC_SlaskaBibliotekaCyfrowa_Part6,22239
2058605_Ag_EU_LoCloud_NPU,22136
2059208_Ag_EU_eSOUNDS_1020_CNRS_CREM,21446
9200317_Ag_EU_TEL_a1087_Collections_1914-1918,21320
2048426_Ag_DE_DDB_Weimar,21294
91654_SOCH_Svenskt_hallristningsforskningsarki,21219
2022365_Ag_UK_CultureGrid_Bristol_Museums,21003
2051920_Ag_EU_Hellenic_1039,21001
2024906_Ag_EU_EuropeanaPhotography_Lithuania_1024,20920
784_Ag_LT_Card_catalog,20693
232_Ag_EU_JHN_JTSA,20597
2023009_Erfgoedplus_be_Sportimonium,20531
2059217_Ag_EU_eSOUNDS_1009_AustrianMediathek,20249
953_MNIR_Numismatic_Items,20189
202_DDB_Leibnitz,19999
15501_Ag_AT_Kulturpool_Imareal,19897
124_RoL_BnF_Newspapers,19865
09312_Ag_EU_JHN_LeoBaeckInstitute_Photos,19761
308_Hispana_BVMalaga,19650
916114_Ag_SE_Helsingborgs_museer_fotografi,19614
273_Ag_EU_JHN_JHM_documenten,19547
651_AnnoNorskSkogmuseum,19275
343_Hispana_BibliotecaValenciana,19090
2048611_Ag_EU_DM2E_sbb_kpe,18957
0943101_Ag_BG_PenchoSlaveykov_ARTICLE,18939
15507_Ag_AT_Kulturpool_wienbib,18591
916110_Ag_SE_SwedishNationalHeritage_Vasamuseet,18555
270_Ag_EU_JHN_JewishHistoricalMuseum,18510
799_DDB_LWL_Museum,18499
2059205_Ag_EU_eSOUNDS_1010_MPI,18392
2022062_Ag_EU_HOPE_OSABackgroundReports,18224
91668_SOCH_gsm,18222
2022720_Ag_ES_Hispana_Idus,18068
9200361_Ag_EU_TEL_a0646_Newspapers_Zagreb,17989
2064102_Preussische_Schlosser,17895
2048421_Ag_DE_DDB_Wasserbau,17827
345_EKT_AthensAcademy2,17817
91674_SOCH_gsm_delobjekt,17617
9200124_Ag_DK_kb.dsa,17551
2048215_EuropeanaFashion_1033,17411
2021662_Ag_NL_DigitaleCollectie__rijssen_holten,17221
2022065_Ag_EU_HOPE_FESLibrarySlot05,17097
473_NM_KNM_Narodni_muzeum_Knihovna_Narodniho_muzea,17069
92097_Ag_EU_TEL_a1034_EuropeanaLibraries,17068
2021602_Ag_NL_DigitaleCollectie_DBNL,17043
203_Zuiderzeemuseum,17033
08520_INDOK_Centre,16959
2023813_AG-EU_LinkedHeritage_Padova,16943
2058601_Ag_EU_LoCloud_CUT,16882
443_Hispana_MemoriaLanzarote,16860
272_Ag_EU_JHN_JHM_foto,16800
126_EKT_laskaridis,16717
916113_Ag_SE_Flygvapenmuseum,16075
499_Hispana_Bibliotecas_Virtuales_FH,16040
2024905_Ag_EU_EuropeanaPhotography_Nalis_1015,15961
11632_Field_Museum_of_Natural_History,15902
69_EKT_Simitis,15728
2048220_EuropeanaFashion_1039,15705
570_Hispana_BibliotecaVirtualAragon,15675
91669_SOCH_smvk_oa_bildar,15589
2022368_Ag_UK_CultureGrid_New_Mills,15510
1126_DDB_HBI,15320
510_Ag_BG_PenchoSlaveykov_LIBVAR_ADVERT2021,15253
9200357_Ag_EU_TEL_a0618_Newspapers_poland,15248
937_Societatea_Romana_de_Radiodifuziune,15062
2023833_Museu_EDR,15001
10904_AV_FLM_ASSETS_tex1,15000
438_DRI_DCLA_3,14933
2048006_Ag_EU_AthenaPlus_IrodalmiMuseum,14896
71_Ag_SE_SwedishNationalHeritage_raa_bbrb,14831
90_SOCH_raa_bbrb,14831
549_Museu_sml,14810
52_Ag_SE_SwedishNationalHeritage_gnm_foto,14772
296_Hispana_farmacia,14747
03924_Ag_MEDICA_IMAGE,14741
2059207_Ag_EU_eSOUNDS_1012_CTMA,14456
2020741_Ag_EU_CARARE_DP,14435
2048445_Ag_DE_DDB_UB-Kassel,14409
783_DDB_UniversitatLeipzig,14351
782_ARMA_Manuscriptorium,14313
157_Ag_EU_JHN_BibliothequeMedem_part1,14169
0940427_Ag_PL_www.pbc.rzeszow.pl,14165
91607_Ag_SE_SwedishNationalHeritage_smvk_emd,13932
2022089_Ag_EU_HOPE_1004_Amsab-ISH_Belgium,13929
2048347_Ag_EU_ApeX_ESACA,13893
92063_Ag_EU_TEL_a0481_Austria,13878
2048401_Ag_DE_DDB_eseslub,13802
2021612_Ag_NL_DigitaleCollectie_eemland-k-en-o,13747
591_Hispana__RepositorioBancoEspana,13741
2020721_Ag_EU_CARARE_Brussels,13587
2048207_EuropeanaFashion_1014,13493
207_Hispana_BiNaDi,13479
797_DDB_VesteCoburg,13470
538_Hispana_ArchivoCiudadArgandadelRey,13459
431_EKT_DigCollMIET,13409
131_EKT_Voudouri,13395
2021673_Ag_NL_DigitaleCollectie_HuisvanHilde,13273
2048203_EuropeanaFashion_1008,13180
9200134_Ag_EU_TEL_UniversityofLeuven,13103
2064929_GR_LEMMTH,13060
776_Warminsko_Mazurska_Biblioteka_Cyfrowa,13056
91699_Ag_SE_SwedishNationalHeritage_rsms,12969
2048218_EuropeanaFashion_1029,12958
2021012_FINDL,12957
781_EKT_NKUA,12874
737_DDB_Bildarchiv_MLU,12862
9200474_Ag_TEL_a1410_RussianStateLibrary,12855
00739_A_DE_Landesarchiv_ese_5_0000478725,12769
